SPY (SPDR S&P 500 ETF Trust),337.6,0.54
Feb 17 2020 @ 11:28 ET,Bid,0,Ask,0,Size,0x0,Vol,64582210
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
02/18/2020,SPY200218C00320000,16.83,-0.12,17.61,17.94,9,0.02,1,0,883,320.000,SPY200218P00320000,0.01,-0.025,0.01,0.02,173,0.2406,-0.0064,0.0025,10595
02/18/2020,SPY200218C00321000,16.13,0.165,16.62,16.94,6,0.05,1,0,216,321.000,SPY200218P00321000,0.01,-0.035,0.01,0.02,16,0.2281,-0.0067,0.0027,1702
02/18/2020,SPY200218C00322000,15.45,0.48,15.62,15.94,27,0.05,1,0,523,322.000,SPY200218P00322000,0.02,-0.025,0.01,0.02,2061,0.2165,-0.0073,0.003,4038
02/18/2020,SPY200218C00323000,14.74,0.76,14.62,14.95,18,0.1886,0.9956,0.0022,753,323.000,SPY200218P00323000,0.02,-0.035,0.01,0.02,10185,0.202,-0.0072,0.0032,12240
02/18/2020,SPY200218C00324000,12.83,-0.115,13.62,13.94,3,0.05,1,0,652,324.000,SPY200218P00324000,0.02,-0.045,0.01,0.02,790,0.1905,-0.0078,0.0037,4351
02/18/2020,SPY200218C00325000,11.74,-0.31,12.67,12.95,44,0.1925,0.9866,0.0058,1108,325.000,SPY200218P00325000,0.02,-0.055,0.02,0.03,1269,0.189,-0.012,0.0054,4327
02/18/2020,SPY200218C00326000,11.52,0.465,11.7,11.96,110,0.1925,0.9793,0.0084,1108,326.000,SPY200218P00326000,0.03,-0.065,0.02,0.03,416,0.1773,-0.0134,0.0063,4269
02/18/2020,SPY200218C00327000,10.47,0.415,10.69,10.96,126,0.176,0.9792,0.0092,994,327.000,SPY200218P00327000,0.02,-0.095,0.02,0.03,1811,0.162,-0.0135,0.0069,5920
02/18/2020,SPY200218C00328000,9.56,0.495,9.64,9.97,159,0.1509,0.9842,0.0085,1630,328.000,SPY200218P00328000,0.03,-0.115,0.02,0.03,3020,0.1495,-0.0149,0.0082,6103
02/18/2020,SPY200218C00329000,8.7,0.605,8.65,8.96,28,0.1383,0.9823,0.0103,1281,329.000,SPY200218P00329000,0.04,-0.145,0.03,0.04,5884,0.1429,-0.0208,0.0114,9806
02/18/2020,SPY200218C00330000,7.74,0.57,7.74,7.98,788,0.1484,0.9588,0.0194,2905,330.000,SPY200218P00330000,0.05,-0.175,0.04,0.05,94410,0.134,-0.0273,0.0153,20258
02/18/2020,SPY200218C00331000,6.73,0.515,6.69,6.99,208,0.127,0.9611,0.0216,1879,331.000,SPY200218P00331000,0.07,-0.215,0.06,0.07,5862,0.1288,-0.0409,0.0222,7231
02/18/2020,SPY200218C00332000,5.73,0.43,5.76,5.99,339,0.1208,0.9429,0.0309,1420,332.000,SPY200218P00332000,0.09,-0.275,0.09,0.1,4999,0.1225,-0.0595,0.0315,6038
02/18/2020,SPY200218C00333000,4.9,0.5,4.81,5.01,604,0.1125,0.9196,0.0433,1775,333.000,SPY200218P00333000,0.12,-0.355,0.12,0.14,11500,0.1128,-0.081,0.0434,11171
02/18/2020,SPY200218C00334000,3.93,0.375,3.9,4.08,973,0.1081,0.8755,0.0619,2730,334.000,SPY200218P00334000,0.19,-0.445,0.18,0.19,14083,0.1045,-0.1167,0.0612,23423
02/18/2020,SPY200218C00335000,2.99,0.23,3.03,3.08,4506,0.0969,0.8272,0.086,3284,335.000,SPY200218P00335000,0.27,-0.555,0.27,0.29,35151,0.0975,-0.1736,0.0858,18400
02/18/2020,SPY200218C00336000,2.21,0.175,2.18,2.23,8033,0.0891,0.745,0.1175,5038,336.000,SPY200218P00336000,0.43,-0.675,0.43,0.44,49358,0.0906,-0.2585,0.1164,20663
02/18/2020,SPY200218C00337000,1.46,0.055,1.44,1.49,35871,0.0842,0.6202,0.1474,14122,337.000,SPY200218P00337000,0.66,-0.815,0.68,0.7,48569,0.0847,-0.3797,0.1465,14892
02/18/2020,SPY200218C00338000,0.84,-0.065,0.85,0.88,39563,0.0794,0.4655,0.1631,11001,338.000,SPY200218P00338000,1.1,-0.87,1.07,1.1,11022,0.0795,-0.5337,0.163,5306
02/18/2020,SPY200218C00339000,0.43,-0.11,0.43,0.45,30885,0.0754,0.3005,0.1504,15702,339.000,SPY200218P00339000,1.68,-0.93,1.65,1.68,1627,0.0761,-0.6971,0.1496,1631
02/18/2020,SPY200218C00340000,0.18,-0.115,0.18,0.19,17830,0.0722,0.1597,0.1097,15022,340.000,SPY200218P00340000,2.6,-0.77,2.39,2.43,1130,0.0727,-0.8382,0.11,1268
02/18/2020,SPY200218C00341000,0.06,-0.095,0.06,0.07,4057,0.0703,0.0692,0.0617,4256,341.000,SPY200218P00341000,3.35,-0.91,3.26,3.31,96,0.0676,-0.9385,0.0586,207
02/18/2020,SPY200218C00342000,0.02,-0.055,0.01,0.02,3979,0.0659,0.0192,0.0231,4353,342.000,SPY200218P00342000,4.42,-0.77,4.11,4.42,48,0.0762,-0.9634,0.0343,591
02/18/2020,SPY200218C00343000,0.01,-0.025,0.01,0.02,912,0.0781,0.0155,0.0162,1644,343.000,SPY200218P00343000,6.43,0.345,5.1,5.4,63,0.05,-0.9996,0.0009,37
02/18/2020,SPY200218C00344000,0.01,-0.015,0,0.01,3795,0.0752,0.0038,0.0049,4616,344.000,SPY200218P00344000,6.37,0,6.08,6.41,0,0.05,-0.9999,0.0001,1
02/18/2020,SPY200218C00345000,0.01,-0.005,0,0.01,604,0.092,0.0057,0.0058,3342,345.000,SPY200218P00345000,7.55,-0.57,7.07,7.43,4,0.05,-1,0,4
02/18/2020,SPY200218C00346000,0.02,0.005,0,0.01,52,0.1055,0.0061,0.0054,282,346.000,SPY200218P00346000,9.19,0,8.09,8.4,0,0.05,-1,0,0
02/18/2020,SPY200218C00347000,0.01,0.005,0,0.01,101,0.1116,0.004,0.0035,593,347.000,SPY200218P00347000,0,0,9.09,9.4,0,0.05,-1,0,0
02/18/2020,SPY200218C00348000,0.01,0,0,0.01,0,0.1263,0.0048,0.0036,444,348.000,SPY200218P00348000,0,0,10.09,10.4,0,0.05,-1,0,0
02/18/2020,SPY200218C00349000,0.01,0,0,0.01,0,0.1268,0.0023,0.0019,82,349.000,SPY200218P00349000,0,0,11.08,11.41,0,0.05,-1,0,0
02/18/2020,SPY200218C00350000,0.01,0.005,0,0.01,1,0.1428,0.0031,0.0022,1517,350.000,SPY200218P00350000,12.8,0,12.08,12.44,0,0.1884,-0.9807,0.0081,0
02/18/2020,SPY200218C00351000,0.01,0,0,0.01,0,0.1536,0.003,0.002,5,351.000,SPY200218P00351000,13.78,0,13.08,13.44,0,0.2023,-0.9812,0.0074,0
02/18/2020,SPY200218C00352000,0.03,0,0,0.01,0,0.1651,0.003,0.0018,6,352.000,SPY200218P00352000,0,0,14.08,14.41,0,0.05,-1,0,0
02/18/2020,SPY200218C00353000,0.01,0,0,0.01,0,0.1836,0.0042,0.0022,263,353.000,SPY200218P00353000,0,0,15.09,15.4,0,0.05,-1,0,0
02/18/2020,SPY200218C00354000,0,0,0,0.01,0,0.1879,0.0031,0.0016,0,354.000,SPY200218P00354000,0,0,16.08,16.44,0,0.2384,-0.9844,0.0053,0
02/18/2020,SPY200218C00355000,0.01,0,0,0.01,0,0.2015,0.0034,0.0017,25,355.000,SPY200218P00355000,25.4,0,17.08,17.44,0,0.2531,-0.9843,0.0051,0
02/18/2020,SPY200218C00356000,0,0,0,0.01,0,0.2137,0.0035,0.0016,0,356.000,SPY200218P00356000,0,0,18.09,18.4,0,0.05,-1,0,0
02/18/2020,SPY200218C00357000,0,0,0,0.01,0,0.2074,0.0017,0.0009,0,357.000,SPY200218P00357000,0,0,19.08,19.44,0,0.2789,-0.9851,0.0044,0
02/18/2020,SPY200218C00358000,0,0,0,0.01,0,0.2172,0.0017,0.0008,0,358.000,SPY200218P00358000,26.07,0,20.08,20.44,0,0.2905,-0.9857,0.0041,0
02/18/2020,SPY200218C00359000,0.01,0,0,0.01,0,0.2273,0.0016,0.0008,1,359.000,SPY200218P00359000,22.2,0.08,21.08,21.44,10,0.3028,-0.9862,0.0038,0
02/18/2020,SPY200218C00360000,0.01,0,0,0.01,0,0.2382,0.0017,0.0007,6,360.000,SPY200218P00360000,27.91,0,22.08,22.41,0,0.05,-1,0,0
02/19/2020,SPY200219C00285000,0,0,52.59,52.95,0,0.02,1,0,0,285.000,SPY200219P00285000,0.01,0,0,0.01,0,0.5099,-0.0007,0.0001,4832
02/19/2020,SPY200219C00290000,42.54,0,47.59,47.97,0,0.4391,0.9995,0.0001,10,290.000,SPY200219P00290000,0.01,0,0,0.01,0,0.4754,-0.001,0.0002,3401
02/19/2020,SPY200219C00291000,0,0,46.59,46.97,0,0.4169,0.9996,0.0001,0,291.000,SPY200219P00291000,0.01,0,0,0.01,0,0.471,-0.0012,0.0002,1210
02/19/2020,SPY200219C00292000,0,0,45.59,45.97,0,0.4168,0.9995,0.0001,0,292.000,SPY200219P00292000,0.02,0,0,0.01,0,0.4591,-0.0011,0.0002,91
02/19/2020,SPY200219C00293000,0,0,44.59,44.97,0,0.4167,0.9994,0.0001,0,293.000,SPY200219P00293000,0.03,0,0,0.01,0,0.453,-0.0013,0.0003,253
02/19/2020,SPY200219C00294000,0,0,43.59,43.97,0,0.4167,0.9993,0.0002,0,294.000,SPY200219P00294000,0.01,0,0,0.01,0,0.428,-0.0009,0.0002,804
02/19/2020,SPY200219C00295000,41.65,0,42.59,42.97,0,0.4166,0.999,0.0002,12,295.000,SPY200219P00295000,0.01,0,0,0.01,0,0.4279,-0.0012,0.0003,1488
02/19/2020,SPY200219C00296000,0,0,41.59,41.97,0,0.05,0.9999,0,0,296.000,SPY200219P00296000,0.01,0,0,0.01,0,0.4272,-0.0015,0.0003,800
02/19/2020,SPY200219C00297000,0,0,40.59,40.97,0,0.05,0.9999,0,0,297.000,SPY200219P00297000,0.01,0,0,0.01,0,0.3976,-0.0009,0.0002,3183
02/19/2020,SPY200219C00298000,0,0,39.59,39.97,0,0.05,0.9999,0,0,298.000,SPY200219P00298000,0.01,0,0,0.01,0,0.3976,-0.0012,0.0003,713
02/19/2020,SPY200219C00299000,0,0,38.59,38.97,0,0.05,0.9999,0,0,299.000,SPY200219P00299000,0.04,0,0,0.01,0,0.3802,-0.001,0.0003,414
02/19/2020,SPY200219C00300000,24.9,0,37.59,37.97,0,0.05,0.9999,0,0,300.000,SPY200219P00300000,0.01,-0.005,0,0.01,15,0.39,-0.0017,0.0004,1422
02/19/2020,SPY200219C00301000,0,0,36.59,36.97,0,0.05,0.9999,0,0,301.000,SPY200219P00301000,0.03,0,0,0.01,0,0.3673,-0.0013,0.0003,480
02/19/2020,SPY200219C00302000,0,0,35.59,35.97,0,0.05,0.9999,0,0,302.000,SPY200219P00302000,0.03,0,0,0.01,0,0.3673,-0.0017,0.0004,486
02/19/2020,SPY200219C00303000,0,0,34.59,34.97,0,0.05,0.9999,0,0,303.000,SPY200219P00303000,0.02,0,0,0.01,0,0.3521,-0.0015,0.0004,851
02/19/2020,SPY200219C00304000,21.18,0,33.6,33.96,0,0.05,0.9999,0,20,304.000,SPY200219P00304000,0.01,-0.005,0,0.01,10,0.3318,-0.0012,0.0003,427
02/19/2020,SPY200219C00305000,0,0,32.6,32.95,0,0.02,1,0,0,305.000,SPY200219P00305000,0.02,0,0,0.01,0,0.3172,-0.001,0.0003,1155
02/19/2020,SPY200219C00306000,0,0,31.6,31.95,0,0.02,1,0,0,306.000,SPY200219P00306000,0.02,0,0,0.01,0,0.3087,-0.0011,0.0003,805
02/19/2020,SPY200219C00307000,17.09,0,30.6,30.96,0,0.05,0.9999,0,27,307.000,SPY200219P00307000,0.01,-0.005,0,0.01,3680,0.3054,-0.0013,0.0004,4014
02/19/2020,SPY200219C00308000,24.71,0,29.6,29.96,0,0.05,0.9999,0,6,308.000,SPY200219P00308000,0.01,-0.015,0,0.01,22,0.3033,-0.0018,0.0005,1389
02/19/2020,SPY200219C00309000,0,0,28.61,28.95,0,0.02,1,0,0,309.000,SPY200219P00309000,0.02,0,0.01,0.02,0,0.3237,-0.0041,0.0011,10832
02/19/2020,SPY200219C00310000,15.59,0,27.6,27.96,0,0.02,1,0.0012,20,310.000,SPY200219P00310000,0.03,0,0.01,0.02,0,0.3133,-0.0043,0.0011,2489
02/19/2020,SPY200219C00311000,26.08,0.115,26.61,26.97,1,0.296,0.9962,0.0011,15,311.000,SPY200219P00311000,0.02,0,0.01,0.02,0,0.3023,-0.0044,0.0012,8374
02/19/2020,SPY200219C00312000,14.3,0,25.61,25.96,0,0.2644,0.998,0.0007,38,312.000,SPY200219P00312000,0.02,-0.005,0.01,0.02,4,0.2908,-0.0044,0.0012,1153
02/19/2020,SPY200219C00313000,12.22,0,24.61,24.97,0,0.2654,0.997,0.001,38,313.000,SPY200219P00313000,0.01,-0.025,0.01,0.02,1,0.2803,-0.0045,0.0013,1159
02/19/2020,SPY200219C00314000,11.93,0,23.61,23.96,0,0.2338,0.9986,0.0005,49,314.000,SPY200219P00314000,0.01,-0.025,0.01,0.02,10,0.2701,-0.0047,0.0014,1481
02/19/2020,SPY200219C00315000,22.14,0,22.65,22.95,0,0.2672,0.9939,0.0018,207,315.000,SPY200219P00315000,0.02,-0.015,0.01,0.02,110,0.2579,-0.0047,0.0015,1542
02/19/2020,SPY200219C00316000,21.08,0.11,21.61,21.97,1,0.2347,0.9967,0.0012,49,316.000,SPY200219P00316000,0.04,0,0.01,0.02,0,0.2474,-0.0049,0.0016,1078
02/19/2020,SPY200219C00317000,16.9,0,20.64,20.97,0,0.2527,0.992,0.0024,51,317.000,SPY200219P00317000,0.03,-0.015,0.01,0.02,6,0.239,-0.0054,0.0018,939
02/19/2020,SPY200219C00318000,19.29,0.295,19.62,19.97,3,0.2267,0.9946,0.0019,74,318.000,SPY200219P00318000,0.02,-0.035,0.02,0.03,367,0.2438,-0.0088,0.0027,1179
02/19/2020,SPY200219C00319000,14.86,0,18.62,18.98,0,0.2211,0.9934,0.0023,119,319.000,SPY200219P00319000,0.03,-0.035,0.02,0.03,22,0.2319,-0.009,0.003,1997
02/19/2020,SPY200219C00320000,17.17,0.16,17.65,17.98,41,0.2293,0.9881,0.0038,243,320.000,SPY200219P00320000,0.03,-0.035,0.02,0.03,48,0.2198,-0.0091,0.0032,1374
02/19/2020,SPY200219C00321000,16.32,0.3,16.65,16.97,40,0.2066,0.9909,0.0033,109,321.000,SPY200219P00321000,0.03,-0.045,0.02,0.03,265,0.2098,-0.0099,0.0036,1612
02/19/2020,SPY200219C00322000,15.41,0.375,15.63,15.99,1,0.1997,0.9891,0.004,96,322.000,SPY200219P00322000,0.04,-0.055,0.03,0.04,19,0.2063,-0.013,0.0046,1053
02/19/2020,SPY200219C00323000,14.48,0.435,14.66,14.99,14,0.2017,0.9832,0.0058,646,323.000,SPY200219P00323000,0.04,-0.065,0.03,0.04,91,0.1947,-0.0138,0.0051,996
02/19/2020,SPY200219C00324000,12.96,-0.15,13.64,14,7,0.1857,0.9842,0.006,628,324.000,SPY200219P00324000,0.06,-0.065,0.04,0.05,44,0.1898,-0.0176,0.0065,2016
02/19/2020,SPY200219C00325000,11.66,-0.42,12.76,13,15,0.203,0.9659,0.0105,2238,325.000,SPY200219P00325000,0.05,-0.095,0.04,0.05,956,0.1787,-0.0192,0.0074,6516
02/19/2020,SPY200219C00326000,11.15,0.045,11.69,12,14,0.1746,0.9744,0.0096,624,326.000,SPY200219P00326000,0.07,-0.105,0.05,0.06,2625,0.1724,-0.0241,0.0093,5000
02/19/2020,SPY200219C00327000,10.39,0.255,10.7,11.02,84,0.1692,0.967,0.0123,1005,327.000,SPY200219P00327000,0.08,-0.125,0.07,0.08,1702,0.1678,-0.0318,0.012,4249
02/19/2020,SPY200219C00328000,9.87,0.69,9.72,10.04,16,0.1618,0.9592,0.0153,716,328.000,SPY200219P00328000,0.1,-0.145,0.08,0.09,1930,0.159,-0.0381,0.0147,6347
02/19/2020,SPY200219C00329000,8.7,0.475,8.75,9.05,42,0.1548,0.9486,0.0192,951,329.000,SPY200219P00329000,0.11,-0.185,0.1,0.11,908,0.1516,-0.0477,0.0185,2934
02/19/2020,SPY200219C00330000,7.71,0.395,7.78,7.99,22,0.136,0.9497,0.0215,1853,330.000,SPY200219P00330000,0.13,-0.225,0.13,0.14,4788,0.1444,-0.0606,0.0235,5456
02/19/2020,SPY200219C00331000,6.8,0.425,6.8,7.11,60,0.1367,0.9226,0.0299,1556,331.000,SPY200219P00331000,0.18,-0.245,0.17,0.18,4736,0.1378,-0.0788,0.0301,8471
02/19/2020,SPY200219C00332000,5,-0.475,5.88,6.15,67,0.1307,0.8978,0.0385,2082,332.000,SPY200219P00332000,0.23,-0.295,0.21,0.22,1942,0.1288,-0.099,0.0382,3406
02/19/2020,SPY200219C00333000,5,0.395,4.96,5.19,154,0.1227,0.8676,0.0493,1637,333.000,SPY200219P00333000,0.28,-0.375,0.28,0.29,4678,0.122,-0.1307,0.0492,5666
02/19/2020,SPY200219C00334000,4.04,0.265,4.15,4.2,526,0.116,0.8244,0.0629,1062,334.000,SPY200219P00334000,0.38,-0.445,0.37,0.38,4000,0.1144,-0.1717,0.0629,8176
02/19/2020,SPY200219C00335000,3.19,0.2,3.27,3.32,2054,0.1076,0.7703,0.0797,2548,335.000,SPY200219P00335000,0.51,-0.535,0.5,0.51,11542,0.1071,-0.2283,0.0797,6350
02/19/2020,SPY200219C00336000,2.47,0.19,2.46,2.51,1818,0.1007,0.6941,0.0984,1797,336.000,SPY200219P00336000,0.69,-0.645,0.68,0.69,9302,0.0995,-0.3034,0.0992,4324
02/19/2020,SPY200219C00337000,1.75,0.09,1.74,1.78,5806,0.0944,0.5949,0.116,5730,337.000,SPY200219P00337000,0.98,-0.73,0.96,0.98,15289,0.0941,-0.4042,0.1163,8735
02/19/2020,SPY200219C00338000,1.15,0.005,1.14,1.16,13632,0.0889,0.4746,0.1265,4949,338.000,SPY200219P00338000,1.38,-0.825,1.35,1.38,4424,0.089,-0.5247,0.1264,2443
02/19/2020,SPY200219C00339000,0.66,-0.095,0.69,0.7,36608,0.0853,0.3456,0.1221,19455,339.000,SPY200219P00339000,1.99,-0.815,1.89,1.93,1424,0.0854,-0.6535,0.122,1568
02/19/2020,SPY200219C00340000,0.38,-0.085,0.37,0.39,13101,0.0824,0.2263,0.1032,26239,340.000,SPY200219P00340000,2.66,-0.86,2.57,2.61,709,0.0821,-0.7745,0.1033,1045
02/19/2020,SPY200219C00341000,0.18,-0.095,0.18,0.19,3391,0.0802,0.1308,0.0748,5917,341.000,SPY200219P00341000,3.45,-0.885,3.37,3.42,61,0.0786,-0.874,0.0744,743
02/19/2020,SPY200219C00342000,0.07,-0.085,0.07,0.08,1007,0.0771,0.0631,0.0453,2185,342.000,SPY200219P00342000,4.8,-0.455,4.17,4.44,64,0.0785,-0.9336,0.0464,1273
02/19/2020,SPY200219C00343000,0.03,-0.055,0.03,0.04,470,0.0786,0.0318,0.0256,1395,343.000,SPY200219P00343000,6.05,-0.065,5.12,5.41,3,0.0802,-0.9655,0.0269,918
02/19/2020,SPY200219C00344000,0.02,-0.025,0.01,0.02,132,0.0795,0.0146,0.0131,1295,344.000,SPY200219P00344000,7.24,0,6.09,6.43,0,0.093,-0.9689,0.0213,1
02/19/2020,SPY200219C00345000,0.02,-0.015,0.01,0.02,49,0.0903,0.0129,0.0104,2679,345.000,SPY200219P00345000,7.44,-0.665,7.09,7.41,403,0.1006,-0.9771,0.0152,222
02/19/2020,SPY200219C00346000,0.01,-0.015,0,0.01,84,0.0888,0.005,0.0046,1514,346.000,SPY200219P00346000,0,0,8.09,8.4,0,0.05,-0.9999,0,0
02/19/2020,SPY200219C00347000,0.01,-0.005,0,0.01,12,0.1,0.0052,0.0042,138,347.000,SPY200219P00347000,9.79,0,9.07,9.43,0,0.05,-0.9999,0,0
02/19/2020,SPY200219C00348000,0.01,-0.005,0,0.01,3890,0.104,0.0032,0.0026,4221,348.000,SPY200219P00348000,10.9,0,10.07,10.43,0,0.05,-0.9999,0,0
02/19/2020,SPY200219C00349000,0.01,0,0,0.01,0,0.1149,0.0034,0.0025,68,349.000,SPY200219P00349000,13.06,0,11.09,11.4,0,0.05,-0.9999,0,0
02/19/2020,SPY200219C00350000,0.01,0,0,0.01,0,0.1191,0.0023,0.0017,229,350.000,SPY200219P00350000,0,0,12.09,12.4,0,0.05,-0.9999,0,0
02/19/2020,SPY200219C00351000,0.01,0,0,0.01,0,0.1385,0.0042,0.0025,531,351.000,SPY200219P00351000,0,0,13.08,13.44,0,0.178,-0.9796,0.0078,0
